,week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews
732,1986-03-02,39,3156411.0,Jerry's Girls,St. James Theatre,156110.0,0.0,23.56,0.0,6627,1621,0.511,8,0
733,1986-03-02,39,3156411.0,La Cage aux Folles,Palace Theatre,299112.0,0.0,33.86,0.0,8835,1683,0.6562,8,0
734,1986-03-02,39,3156411.0,Oh! Calcutta!,Edison Theatre,30541.0,0.0,14.24,0.0,2145,499,0.5373,8,0
735,1986-03-02,39,3156411.0,Precious Sons,Longacre Theatre,51056.0,0.0,13.7,0.0,3727,1092,0.4266,0,8
736,1986-03-02,39,3156411.0,Singin' in the Rain,Gershwin Theatre,204932.0,0.0,28.38,0.0,7220,1933,0.4669,8,0
737,1986-03-02,39,3156411.0,Song and Dance,Royale Theatre,159636.0,0.0,33.09,0.0,4824,1039,0.5804,8,0
738,1986-03-02,39,3156411.0,Tango Argentino,Mark Hellinger Theatre,183046.0,0.0,29.33,0.0,6241,1603,0.4867,8,0
739,1986-03-02,39,3156411.0,The Caretaker,Circle in the Square Theatre,44543.0,0.0,15.63,0.0,2850,666,0.5349,8,0
740,1986-03-02,39,3156411.0,The Mystery of Edwin Drood,Imperial Theatre,208229.0,0.0,32.83,0.0,6342,1425,0.5563,8,0
741,1986-03-02,39,3156411.0,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,213993.0,0.0,26.98,0.0,7931,1079,0.9188,8,0
742,1986-03-09,40,3017183.0,42nd Street,St. James Theatre,187598.0,0.0,28.53,0.0,6576,1655,0.4967,8,0
743,1986-03-09,40,3017183.0,A Chorus Line,Sam S. Shubert Theatre,178880.0,0.0,29.96,0.0,5971,1472,0.507,8,0
744,1986-03-09,40,3017183.0,Benefactors,Brooks Atkinson Theatre,170488.0,0.0,28.79,0.0,5922,1080,0.6854,8,0
745,1986-03-09,40,3017183.0,Big River,Eugene O'Neill Theatre,190201.0,0.0,31.62,0.0,6016,1018,0.7387,8,0
746,1986-03-09,40,3017183.0,Biloxi Blues,Neil Simon Theatre,108491.0,0.0,24.89,0.0,4358,1336,0.4077,8,0
747,1986-03-09,40,3017183.0,Brighton Beach Memoirs,46th Street Theatre,74894.0,0.0,18.96,0.0,3950,1368,0.3609,8,0
748,1986-03-09,40,3017183.0,Cats,Winter Garden Theatre,456093.0,0.0,38.33,0.0,11899,1482,1.0036,8,0
749,1986-03-09,40,3017183.0,Corpse!,Helen Hayes Theatre,41200.0,0.0,58.86,0.0,700,499,0.1754,8,0
750,1986-03-09,40,3017183.0,Execution of Justice,Virginia Theatre,20693.0,0.0,12.36,0.0,1674,1149,0.3642,0,4
751,1986-03-09,40,3017183.0,Hay Fever,Music Box Theatre,78659.0,0.0,18.31,0.0,4297,1016,0.5287,8,0
752,1986-03-09,40,3017183.0,I'm Not Rappaport,Booth Theatre,108447.0,0.0,24.64,0.0,4401,785,0.7008,8,0
753,1986-03-09,40,3017183.0,Jerry's Girls,St. James Theatre,153887.0,0.0,30.72,0.0,5009,1621,0.3863,8,0
754,1986-03-09,40,3017183.0,La Cage aux Folles,Palace Theatre,298304.0,0.0,33.23,0.0,8977,1683,0.6667,8,0
755,1986-03-09,40,3017183.0,Oh! Calcutta!,Edison Theatre,29861.0,0.0,21.01,0.0,1421,499,0.3164,9,0
756,1986-03-09,40,3017183.0,Precious Sons,Longacre Theatre,62685.0,0.0,14.15,0.0,4430,1092,0.5071,0,8
757,1986-03-09,40,3017183.0,Singin' in the Rain,Gershwin Theatre,208824.0,0.0,29.14,0.0,7165,1933,0.4633,8,0
758,1986-03-09,40,3017183.0,Song and Dance,Royale Theatre,175129.0,0.0,32.98,0.0,5310,1069,0.6209,8,0
759,1986-03-09,40,3017183.0,Tango Argentino,Mark Hellinger Theatre,208809.0,0.0,29.64,0.0,7044,1603,0.5493,8,0
760,1986-03-09,40,3017183.0,The Caretaker,Circle in the Square Theatre,43063.0,0.0,14.59,0.0,2952,666,0.5541,8,0
