,week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews
44535,2018-06-03,1,37106954.31,A Bronx Tale The Musical,Longacre Theatre,542166.87,921066.0,83.27,225.0,6511,1044,0.7796,8,0
44536,2018-06-03,1,37106954.31,Aladdin,New Amsterdam Theatre,1420716.5,1492606.0,105.23,199.5,13501,1727,0.9772,8,0
44537,2018-06-03,1,37106954.31,Anastasia,Broadhurst Theatre,789629.8,1093588.0,97.05,273.0,8136,1143,0.8898,8,0
44538,2018-06-03,1,37106954.31,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,829637.0,1362036.0,98.57,247.0,8417,1422,0.8456,7,0
44539,2018-06-03,1,37106954.31,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,596943.04,1106908.0,101.35,247.0,5890,1026,0.7176,8,0
44540,2018-06-03,1,37106954.31,Carousel,Imperial Theatre,968407.5,1622728.0,107.6,323.0,9000,1428,0.7878,8,0
44541,2018-06-03,1,37106954.31,Chicago,Ambassador Theatre,651540.33,958024.0,87.47,203.0,7449,1080,0.8622,8,0
44542,2018-06-03,1,37106954.31,Come From Away,Gerald Schoenfeld Theatre,1133157.05,1260966.0,133.06,347.0,8516,1046,1.0177,8,0
44543,2018-06-03,1,37106954.31,Dear Evan Hansen,Music Box Theatre,1670971.1,1425136.0,209.11,448.0,7991,984,1.0151,8,0
44544,2018-06-03,1,37106954.31,Escape to Margaritaville,Marquis Theatre,484835.5,1752864.0,78.31,247.0,6191,1626,0.4759,8,0
44545,2018-06-03,1,37106954.31,Frozen,St. James Theatre,1813959.0,1871571.0,136.29,297.0,13310,1680,0.9903,8,0
44546,2018-06-03,1,37106954.31,Hamilton,Richard Rodgers Theatre,3123872.0,2895648.0,290.46,849.0,10755,1321,1.0177,8,0
44547,2018-06-03,1,37106954.31,"Harry Potter and the Cursed Child, Parts One and Two",Lyric Theatre,2035103.5,1988464.0,156.84,296.5,12976,1622,1.0,8,0
44548,2018-06-03,1,37106954.31,"Hello, Dolly!",Sam S. Shubert Theatre,844173.0,1371056.0,87.03,297.0,9700,1446,0.8385,8,0
44549,2018-06-03,1,37106954.31,Kinky Boots,Al Hirschfeld Theatre,649057.15,1294256.0,89.01,249.0,7292,1424,0.6401,8,0
44550,2018-06-03,1,37106954.31,Mean Girls,August Wilson Theatre,1537690.05,1469426.0,155.31,399.5,9901,1225,1.0103,8,0
44551,2018-06-03,1,37106954.31,My Fair Lady,Vivian Beaumont Theater,1202754.0,1396120.0,140.64,323.0,8552,1069,1.0,8,0
44552,2018-06-03,1,37106954.31,Once On This Island,Circle in the Square Theatre,507577.7,792176.0,100.39,249.5,5056,696,0.9079999999999999,8,0
44553,2018-06-03,1,37106954.31,Saint Joan,Samuel J. Friedman Theatre,214730.0,731288.0,53.93,199.0,3982,647,0.7693,8,0
44554,2018-06-03,1,37106954.31,School of Rock - The Musical,Winter Garden Theatre,889890.62,1443688.0,89.98,248.0,9890,1523,0.8117,8,0
44555,2018-06-03,1,37106954.31,"SpongeBob SquarePants, The Broadway Musical",Palace Theatre,774588.0,1408776.0,69.63,248.0,11124,1610,0.8637,8,0
44556,2018-06-03,1,37106954.31,Springsteen On Broadway,Walter Kerr Theatre,1929447.5,1907420.0,508.82,0.0,3792,948,1.0,4,0
44557,2018-06-03,1,37106954.31,Summer: The Donna Summer Musical,Lunt-Fontanne Theatre,1008391.5,1455668.0,103.5,197.0,9743,1470,0.8285,8,0
44558,2018-06-03,1,37106954.31,The Band's Visit,Ethel Barrymore Theatre,862762.0,1024568.0,106.75,247.0,8082,1039,0.9723,8,0
44559,2018-06-03,1,37106954.31,The Book of Mormon,Eugene O'Neill Theatre,1140274.0,1190502.0,132.36,477.5,8615,1047,1.0285,8,0
44560,2018-06-03,1,37106954.31,The Boys in the Band,Booth Theatre,881039.2,957024.0,142.17,397.0,6197,774,1.0008,4,4
44561,2018-06-03,1,37106954.31,The Iceman Cometh,Bernard B. Jacobs Theatre,872250.0,1194930.0,132.28,397.0,6594,1054,0.8937,7,0
44562,2018-06-03,1,37106954.31,The Lion King,Minskoff Theatre,2184714.0,2090026.0,161.36,225.0,13539,1696,0.9979,8,0
44563,2018-06-03,1,37106954.31,The Phantom of the Opera,Majestic Theatre,1115092.1,1356418.0,88.65,213.0,12578,1605,0.9796,8,0
44564,2018-06-03,1,37106954.31,The Play That Goes Wrong,Lyceum Theatre,312664.0,677688.0,66.19,197.0,4724,854,0.6915,8,0
44565,2018-06-03,1,37106954.31,Three Tall Women,John Golden Theatre,955304.4,932456.0,151.68,373.0,6298,787,1.0003,8,0
44566,2018-06-03,1,37106954.31,Travesties,American Airlines Theatre,410724.7,655224.0,87.95,250.0,4670,727,0.8029999999999999,8,0
44567,2018-06-03,1,37106954.31,Waitress,Brooks Atkinson Theatre,898243.2,1019480.0,114.38,270.0,7853,1045,0.9394,8,0
44568,2018-06-03,1,37106954.31,Wicked,Gershwin Theatre,1854648.0,1779845.0,121.69,240.0,15241,1926,0.9892,8,0
44569,2018-06-10,2,39211500.4,A Bronx Tale The Musical,Longacre Theatre,585891.34,921066.0,88.17,225.0,6645,1044,0.7956,8,0
44570,2018-06-10,2,39211500.4,Aladdin,New Amsterdam Theatre,1462545.0,1566071.0,107.2,215.5,13643,1727,0.9875,8,0
44571,2018-06-10,2,39211500.4,Anastasia,Broadhurst Theatre,877138.0,1093588.0,103.27,273.0,8494,1143,0.9289,8,0
44572,2018-06-10,2,39211500.4,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,917002.5,1362036.0,103.89,247.0,8827,1422,0.8868,7,0
44573,2018-06-10,2,39211500.4,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,741251.8,1106908.0,107.83,247.0,6874,1026,0.8375,8,0
44574,2018-06-10,2,39211500.4,Carousel,Imperial Theatre,1113597.74,1622728.0,115.59,323.0,9634,1428,0.8433,8,0
44575,2018-06-10,2,39211500.4,Chicago,Ambassador Theatre,677947.78,958024.0,86.21,187.0,7864,1080,0.9102,8,0
44576,2018-06-10,2,39211500.4,Come From Away,Gerald Schoenfeld Theatre,1190799.4,1260966.0,139.62,347.0,8529,1046,1.0192,8,0
44577,2018-06-10,2,39211500.4,Dear Evan Hansen,Music Box Theatre,1711772.8,1425136.0,214.08,448.0,7996,984,1.0158,8,0
44578,2018-06-10,2,39211500.4,Escape to Margaritaville,Marquis Theatre,510088.5,1752864.0,78.77,247.0,6476,1626,0.4978,8,0
44579,2018-06-10,2,39211500.4,Frozen,St. James Theatre,1865554.0,1871412.0,139.64,297.0,13360,1684,0.9917,8,0
44580,2018-06-10,2,39211500.4,Hamilton,Richard Rodgers Theatre,2847041.0,2630724.0,265.29,849.0,10732,1321,1.0155,8,0
44581,2018-06-10,2,39211500.4,"Harry Potter and the Cursed Child, Parts One and Two",Lyric Theatre,2101259.5,1988464.0,161.93,296.5,12976,1622,1.0,8,0
44582,2018-06-10,2,39211500.4,"Hello, Dolly!",Sam S. Shubert Theatre,956749.02,1371056.0,89.35,297.0,10708,1446,0.9257,8,0
44583,2018-06-10,2,39211500.4,Kinky Boots,Al Hirschfeld Theatre,661200.1,1294256.0,89.15,249.0,7417,1424,0.6511,8,0
44584,2018-06-10,2,39211500.4,Mean Girls,August Wilson Theatre,1544889.9,1469426.0,156.03,399.5,9901,1225,1.0103,8,0
44585,2018-06-10,2,39211500.4,My Fair Lady,Vivian Beaumont Theater,1230317.0,1396120.0,143.86,323.0,8552,1069,1.0,8,0
44586,2018-06-10,2,39211500.4,Once On This Island,Circle in the Square Theatre,537109.6,792176.0,98.23,249.5,5468,696,0.982,8,0
44587,2018-06-10,2,39211500.4,Saint Joan,Samuel J. Friedman Theatre,264282.5,731288.0,60.26,199.0,4386,647,0.8474,8,0
44588,2018-06-10,2,39211500.4,School of Rock - The Musical,Winter Garden Theatre,980276.8,1443688.0,90.46,223.0,10837,1523,0.8894,8,0
44589,2018-06-10,2,39211500.4,"SpongeBob SquarePants, The Broadway Musical",Palace Theatre,898297.6,1408776.0,75.09,248.0,11963,1610,0.9288,8,0
44590,2018-06-10,2,39211500.4,Springsteen On Broadway,Walter Kerr Theatre,2402102.5,2384275.0,506.77,0.0,4740,948,1.0,5,0
44591,2018-06-10,2,39211500.4,Summer: The Donna Summer Musical,Lunt-Fontanne Theatre,1097434.2,1455668.0,106.1,197.0,10343,1470,0.8795,8,0
44592,2018-06-10,2,39211500.4,The Band's Visit,Ethel Barrymore Theatre,950642.96,1024568.0,114.37,247.0,8312,1039,1.0,8,0
44593,2018-06-10,2,39211500.4,The Book of Mormon,Eugene O'Neill Theatre,1140486.5,1190502.0,131.64,477.5,8664,1047,1.0344,8,0
44594,2018-06-10,2,39211500.4,The Boys in the Band,Booth Theatre,1018219.98,957024.0,160.35,397.0,6350,774,1.0255,8,0
44595,2018-06-10,2,39211500.4,The Iceman Cometh,Bernard B. Jacobs Theatre,894274.12,1194930.0,134.32,397.0,6658,1054,0.9024,7,0
44596,2018-06-10,2,39211500.4,The Lion King,Minskoff Theatre,2203934.0,2096651.0,162.4,225.0,13571,1696,1.0002,8,0
44597,2018-06-10,2,39211500.4,The Phantom of the Opera,Majestic Theatre,1141362.44,1356418.0,88.48,213.0,12899,1605,1.0046,8,0
44598,2018-06-10,2,39211500.4,The Play That Goes Wrong,Lyceum Theatre,365986.0,677688.0,70.53,197.0,5189,854,0.7595,8,0
44599,2018-06-10,2,39211500.4,Three Tall Women,John Golden Theatre,994258.32,932456.0,157.92,423.0,6296,787,1.0,8,0
44600,2018-06-10,2,39211500.4,Travesties,American Airlines Theatre,457007.2,655224.0,89.98,250.0,5079,727,0.8733,8,0
44601,2018-06-10,2,39211500.4,Waitress,Brooks Atkinson Theatre,947757.3,1019480.0,117.38,270.0,8074,1045,0.9658,8,0
44602,2018-06-10,2,39211500.4,Wicked,Gershwin Theatre,1923023.0,1779845.0,125.27,240.0,15351,1926,0.9963,8,0
44603,2018-06-17,3,39653551.79,A Bronx Tale The Musical,Longacre Theatre,599470.0,921066.0,84.5,225.0,7094,1044,0.8494,8,0
44604,2018-06-17,3,39653551.79,Aladdin,New Amsterdam Theatre,1513133.0,1584935.0,110.5,215.5,13694,1727,0.9912,8,0
44605,2018-06-17,3,39653551.79,Anastasia,Broadhurst Theatre,859771.67,1093588.0,99.38,273.0,8651,1143,0.9461,8,0
44606,2018-06-17,3,39653551.79,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,994107.5,1362036.0,112.98,247.0,8799,1422,0.884,7,0
44607,2018-06-17,3,39653551.79,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,744624.5,1106908.0,102.48,247.0,7266,1026,0.8852,8,0
44608,2018-06-17,3,39653551.79,Carousel,Imperial Theatre,1095511.12,1622728.0,113.11,323.0,9685,1428,0.8478,8,0
44609,2018-06-17,3,39653551.79,Chicago,Ambassador Theatre,646555.05,958024.0,86.48,187.0,7476,1080,0.8653,8,0
44610,2018-06-17,3,39653551.79,Come From Away,Gerald Schoenfeld Theatre,1204297.64,1260966.0,141.1,347.0,8535,1046,1.02,8,0
44611,2018-06-17,3,39653551.79,Dear Evan Hansen,Music Box Theatre,1726485.18,1425136.0,215.92,448.0,7996,984,1.0158,8,0
44612,2018-06-17,3,39653551.79,Escape to Margaritaville,Marquis Theatre,528670.0,1752864.0,77.26,247.0,6843,1626,0.5261,8,0
